index,q1,q2,q3,q4,response
305,니시오 마사하루는 누구야?,니시오 마사하루란 사람은?,니시오 마사하루는 어떤 사람이야?,니시오 마사하루에 대해 알아?,"파 이스트 오피스 영업부장으로 과거에 있었던 저격사건의 피해자야. 현금수송차량 습격사건에서 스에히코, 레이코와 같은 3인조 강도단의 일원이었고 스에히코, 레이코와는 대학동기였어."
306,모터사이클 갱들은 누구야?,모터사이클 갱들은 무슨 일을 해?,모터사이클 갱들는 어떤 사람이야?,모터사이클 갱들에 대해 알아?,인조로 이루어진 특수 오토바이 슈트차림의 폭주족 스타일의 헤어스타일을 가진 살인청부업자들이야.
307,헤이지가 이토 스에히코의 의뢰를 받은 이유는?,"코난과 헤이지, 모리가 이토 스에히코의 의뢰를 받은 이유?",코난과 헤이지는 왜 이토 스에히코의 의뢰를 받은 거야?,코난과 헤이지는 왜 이토 스에히코의 의뢰를 받아들일 수 밖에 없었어?,"플라스틱 폭탄인 컴포지션 4가 내장된 미라클 랜드 VIP 패스 때문이야. 소년탐정단과 카즈하, 란이 미라클 랜드에서 그 패스를 차고 돌아다니고 있었기 때문이야."
308,이토 스에히코의 마지막에 폭탄을 해체하기 위한 비밀번호는 뭐야?,이토 스에히코와 관련된 폭탄을 해체하기 위한 비밀번호는 뭐야?,이토 스에히코와 관련된 폭탄을 해체하기 위한 비밀번호는 뭐였어?,미라클랜드 VIP 패스에 내장된 플라스틱 폭탄을 해제하기위한 비밀번호는 뭐야?,이토 스에히코. 의뢰인 자신의 이름이었어.
309,이토 스에히코가 너의 정체를 안 이유는 뭐야?,이토 스에히코가 코난의 정체를 어떻게 알았어?,이토 스에히코가 코난의 정체를 알아?,이토 스에히코는 코난의 정체를 어떻게 알아?,모리 아저씨에게 의뢰를 맡기고자 할 때 앉았던 의자에 지문 스캐너가 있었던 것 같아.
310,슈퍼스네이크에서 폭탄을 가져간 사람은?,슈퍼스네이크에서 폭탄을 가져간 사람은 누구야?,슈퍼 스테이크에서 코난에게 있던 폭탄을 가져간 사람은?,미라클 랜드의 슈퍼 스네이크에서 겐타에게 있던 폭탄은 결국 누가 도와줬어?,하이바라가 패스를 빼고 날아가 내가 잡았지만 안전바 때문에 꼼짝 할 수 없었는데 괴도 키드가 행글라이더를 타고 나타나 폭탄을 멀리 던져줬지.
311,진짜 하리오 씨를 죽인 범인은?,진짜 하리오씨를 죽인 사람은?,하리오 씨를 죽인 사람은 누구야,하리오 씨를 죽인 사람은 누구였어?,처음에 에이코에게 돌을 맞았을 때는 기절해있었던 거였어. 아키타야씨에게 마지막 일격을 당해서 죽었던 거야.
312,하리오 씨가 에이코 씨에게 살해당하지 않은 이유는?,에이코 씨가 하리오 씨를 살해하지 않았다는 이유는?,하리오 씨가 에이코씨에게 죽임을 당하지 않은 이유는 뭐야?,하리오 씨가 에이코 씨에게 살해당하지 않았다는 것을 어떻게 알았어?,시체에는 손톱 앞에 흙과 풀이 다량으로 부착되어 있었고 손바닥에는 지면을 강하게 긁은 듯한 상처가 있었어. 움직이지 않았다는 에이코씨의 증언에 따라선 그런 상처가 나지 않기 때문이야. 그래서 의식을 되찾고 일어나려 노력을 했을 때 마지막 일격이 가해진 것을 알 수 있었어.
313,살인범이 시체를 숨기는 목적은 뭐야?,살인범이 시체를 숨기는 이유는 뭐야?,살인범이 시체를 숨기는 이유는?,살인범이 시체를 숨기는 이유가 뭘까?,시체가 발견되면 곤란하니까 그렇겠지. 발견되면 피해자의 신원이 밝혀지고 주변 인물이 철저히 알려지면서 언젠가는 자기자신한테도 수사의 손이 뻗치게 되니까. 그래서 수사를 받지 않으려고 시체를 숨기는 거야.
314,소년탐정단은 왜 아케보노 마을에 간 거야?,소년탐정단이 아케보노 마을에 간 이유는?,소년탐정단이 아케보노 마을에 간 이유는 뭐야?,소년탐정단이 아케보노 마을에 간 이유?,거기서 계속 일어나는 빈집털이 사건 범인을 잡으러 왔었어.
315,토쿠나가 씨는 왜 소파에 시체를 버린 거야?,토쿠나가 씨는 왜 시체를 내버려두지 않고 소파에 버렸던 거야?,토쿠나가 씨는 왜 시체를 버렸던 거야?,토쿠나가 씨가 시체를 소파에 버린 이유는?,토쿠나가 씨는 피해자를 살해해서 불안정해 있을 때 들었던 거야. 빈집털이범을 조심하라는 순찰차의 소리를!
316,토쿠나가 씨의 범행동기는 뭐야?,토쿠나가 씨는 왜 할머니를 죽였어?,토쿠나가 씨가 할머니를 죽인 이유는 뭐야?,토쿠나가 씨가 할머니를 살해한 이유는?,그 할머니에게 빚을 졌었대. 1주일만 연기해 줄 수 없을까 이야기를 했는데 멘션까지 와서 화를 내면서 기한 내에 갚지 않으면 가게를 몰수하겠다고 하셨었나봐. 그 말을 들은 토쿠나가 씨는 홧김에 할머니를 죽인 거지.
317,경찰을 노리는 폭탄범이 누구를 다치게 했어?,경찰만을 노리는 폭탄범이 누구를 해쳤어?,경찰을 노리는 폭탄범은 누구를 다치게 했어?,경찰을 노리는 폭탄범에 의해 누가 다쳤어?,시라토리 형사야. 형사님이 가게 안을 조사하고 있는 동안에 진짜 폭탄을 차 안에 장치한 거야. 가게 밖으로 피난한 많은 손님들 속에 섞여서 말이지.
318,엘리베이터에 설치한 폭탄을 어떻게 했어?,엘리베이터에 설치된 폭탄을 어떻게 했어?,엘리베이터에 설치되어있던 폭탄의 결말은?,엘리베이터에 설치된 폭탄을 어떻게 처리했어?,힌트가 3초 남았을 때 보인다고 해서 일부만 보고 해체해버렸어.
319,나구모 씨가 범인인 이유는?,나구모 씨가 범인인 이유가 뭐야?,나구모 씨가 범인인 이유는 뭘까?,나구모 씨가 살해했다고 생각하는 이유는?,라이터의 심지에 기름을 꼐속 채워넣게 되어있는데 비흡연자인 루리가 아닌 흡연자인 나구모씨가 커터칼을 잘라 숨겼을 거라는 거야. 숨겨진 딸인 루리를 위해서.
320,루리의 출생의 비밀은?,루리의 출생의 비밀은 뭘까?,루리의 출생의 비밀은 뭐야?,루리의 출생의 비밀?,나구모 씨와 루리의 엄마가 무명 극단에 있을 때 생긴 자식으로 임신 사실을 알았을 때는 이미 헤어지고 극단을 나간 상태였대. 닮았다고 해서 알고 보니 친아버지였던 거지
321,루리의 아버지가 누군지 모리는 어떻게 알았어?,루리의 아버지가 나구모 씨라는 것을 모리아저씨가 어떻게 알았어?,루리의 아버지의 정체를 모리아저씨가 어떻게 알았어?,코고로 아저씨는 루리 아버지가 누구인 걸 어떻게 알았어?,"애인으로써가 아니라 아버지로써 딸을 걱정하는 태도, 에리아줌마의 아버지를 만나러 갔을 때의 태도인 걸 모리 아저씨는 생각해냈던 거야."
322,게임엔지니어 이타쿠라 스구루씨는 어떻게 발견되었어?,이타쿠라 씨는 어떻게 발견되었어?,이타쿠라 스구루 씨는 어떻게 발견된 거야?,이타쿠라 스구루 씨는 어떻게 발견되버린 거야?,호텔에 2004호에 묵고 있다는 것을 모리 아저씨가 알아낸 후 호텔 방문을 열어보니 의자에 엎드린 채로 죽어있었어.
323,이타쿠라 씨는 죽기 전에 뭘 남겼어?,이타쿠라 씨는 범인을 어떻게 알려줬어?,이타쿠라 씨가 남긴 범인에 대한 증거는?,이타쿠라 씨가 남긴 범인의 힌트는?,다잉 메시지야. 수상하게 보이지 않는 암호를 바둑판에 놓았지.
324,이타쿠라 씨의 다잉메세지는 누구를 생각하고 남긴 거야?,이타쿠라 씨의 다잉메세지는 어떻게 찾을 수 있었어?,이타쿠라 씨는 바둑알로 왜 힌트를 남겼어?,이타쿠라 씨는 왜 힌트를 남긴 거야?,엘리베이터의 버튼을 점자로 찾아 누를 정도로 눈이 나쁜 나이토 씨라면 암호의 점자를 읽을 수도 있는 일이고 바둑 소프트웨어를 의뢰한 스가이 씨라면 금기사항을 알아채 부자연스럽게 여겨 이것이 암호라는 것을 눈치챌 것이라고 생각한 거지. 소마씨가 범인인 걸 말이야.
325,소마 씨가 범인인 증거는?,소마 씨가 범인인 증거는 뭐야?,소마씨가 범인이라는 증거는?,소마씨가 범인이라는 증거는 어떤 거야?,그가 차고 있는 시계야. 일주일 만에 보았으면 시계에는 지문이 없어야하는데 그 전에 왔기 때문에 시계에 관심이 있었던 이타쿠라씨는 당연히 시계를 구경했을테니 지문이 남아있다는 거지.
326,이타쿠라 씨의 일기에서 발견한 것은?,이타쿠라 씨의 일기에서 발견한 건 뭐야?,이타쿠라 씨의 일기에서 발견한 것은 뭐야,이타쿠라 씨의 일기에서 발견한 것은 어떤 거야?,검은 조직과 접촉한 단서야.
327,히나마츠리가 뭐야?,히나마츠리란?,히나마츠리란 뭐야?,히나마츠리가 뭐야?,어린 여자애의 무병 장수를 빌어 인형을 장식하는 명절이야.
328,족자를 훔친 범인은 누구야?,족자를 훔친 범인은?,히나마츠리를 무너뜨리고 다시 해놓고 족자를 훔친 범인은?,족자를 훔친 범인은 누구야?,집주인인 할머니야. 그 족자는 칸노 가문의 수호신이라고 해. 가족에게 내릴 재앙을 대신 받는 건 거라셨어.
329,케모노미치가 뭐야,케모노미치란 뭐야?,케모노미치는 뭐야?,케모노미치는 뭘 뜻하는 거야?,숲 속에 난 짐승마다의 특유한 통로를 말해.
330,카라비너는 뭐야?,카라비너가 뭐야?,카라비너는 어떤 때 쓰는 거야?,카라비너는?,카라비너는 등반할 때 자일을 꽤는 강철고리를 뜻해.
331,방조가 뭐야?,방조는 뭐야?,방조란?,방조는 무슨 뜻이야?,생태 조사등을 위하여 잡은 들새를 표시를 달아 놓아주는 것을 말해.
332,히라이 씨는 사고로 죽은 거야?,히라이 씨는 사고로 죽었어?,히라이 씨의 죽음은 사고야?,히라이 씨의 죽음은 사건이야?,히라이 씨가 전망대에서 떨어져 죽은 것처럼 꾸몄던 거야. 이건 살인사건이었어.
333,히라이 씨를 죽인 범인은?,히라이 씨를 죽인 범인은 누구야?,히라이 씨를 죽음으로 몰고 간 사람은?,히라이 씨를 살해한 범인은?,"범인은 히라이 씨가 전망대 앞의 울타리를 수리하러 간 걸 알았던 인물, 같은 복장을 준비할 수 있었던 인물. 콘도 씨야."
334,세이잔 선생님이 살해된 이유가 뭐야?,쿠로키 씨가 세이잔 선생님을 죽인 이유는?,쿠로키 씨는 왜 선생님을 살해한 거야?,쿠로키 씨는 왜 살해한 거야?,쿠로키씨는 콘테스트에 그림을 내고자 했지만 허락해주지 않은 선생님을 살해하고자 했던 거야.
335,쿠로키 씨가 세이잔 선생님을 어떻게 살해한 거야?,세이잔 선생님은 어떻게 죽었어?,쿠로키씨의 살인 트릭은?,쿠로키 씨의 트릭은 뭐야?,쿠로키 씨는 아침 일찍 수면제로 재운 선생님을 옮긴 후 죽순 아래에 앉히고 목에 로프를 묵고 주변의 죽순들을 다 잘라냈어. 로프를 묶어놓은 죽순에 태양의 빛이 듬뿍 비치도록 말이야.
336,쿠로키 씨가 범인이라는 증거는 뭐였어?,쿠로키 씨가 범인이란 증거는 어떤 거야?,쿠로키 씨가 범인이란 증거는 뭐야?,쿠로키 씨가 범인이란 증거는?,타비에 묻은 하얀 가루가 증거야. 하얀 가루는 대나무를 자를 때 묻은 톱밥이었지.
337,나가세 씨를 죽인 범인은?,나가세 씨를 죽인 범인은 누구야?,나가세 씨를 죽인 범인은 누구일까?,나가세 선수를 죽인 범인은 누구였어?,우시고메 씨야.
338,범인이 나가세 씨를 살해한 동기가 뭐야?,나가세 씨가 원한을 산 이유는 뭐야?,나가세 씨가 원한을 산 이유는 뭘까?,범인이 나가세 씨를 죽인 이유는?,그들을 배신하고 반코쿠 프로레슬링으로 이적하려고 했기 때문이라고 해. 그리고 지명도가 낮은 신인 프로레슬러에게 죄를 뒤집어 씌우고 마스크를 뺏을 심산이기도 했고.
339,란이 코난을 구하기 위해 쓴 기술 이름은 뭐야?,란이 코난을 구하기 위해 쓴 기술 이름은?,코난을 구하기 위해 란이 쓴 기술 이름은 뭐야?,코난을 구하기 위해 란이 쓴 기술은?,샤이닝 위저드! 눈앞에서 기술을 쓰는 게 역시 란짱..
340,쿠론 건강기능회사의 우메타니 씨를 칼에 찌른 사람은?,우메타니 씨를 죽이려고 한 사람은?,우메타니 씨를 죽이고자 했던 사람은?,우메타니 씨를 칼로 찌르고 도망간 사람은?,히라마츠 씨야. 차로 도망갔는데 절벽에서 추락하여 숨지고 말았어.
341,히라마츠 씨의 사고가 사건이라고?,히라마츠 씨는 어떻게 죽은 거야?,히라마츠 씨는 살해당한 거야?,히라마츠 씨는 살해당했어?,브레이크가 고장나 있었기 때문이야. 당연히 그것만으로 사건이라고 할 순 없지. 누군가가 함정을 파놨기 때문에 사건이라고 말할 수 있는 거야.
342,히라마츠 씨가 살해당한 트릭은?,우메타니 씨는 어떻게 히라마츠 씨를 죽이려고 했어?,우메타니씨의 트릭은?,우메타니 씨의 트릭은 뭐야?,안개와 코너 거울의 각도를 이용해서 차량의 헤드라이트를 보이게 해서 절벽으로 떨어지게 한 거지.
343,우메타니 씨가 범인이란 증거는?,우메타니씨가 히라마츠씨를 죽인 범인이라는 증거는 뭐야?,우메타니씨가 살해했다는 증거는?,우메타니씨가 살인을 저지른 증거는?,12시가 되고 아임즈의 전원이 켜지는 게 그 증거야. 패스워드를 들었다면 기계가 동작하도록 했을테니까. 전원이 켜지는 순간 그는 무릎을 꿇었어.
344,쿠사가 유이치 씨를 죽인 범인은?,쿠사가 유이치 씨를 죽인 범인은 누구야?,쿠사가 유이치를 살해한 사람은?,쿠사가 유이치를 살해한 범인은 누구야?,사루하시씨야. 쿠사가씨는 사루하시씨를 살해하려고 방문하였으나 역으로 살해당했어.
345,츠치가타 유타로 씨는 누구야?,츠치가타 유타로 씨는 어떤 사람이야?,츠치가타 유타로씨의 직업은 뭐야?,츠치가타 유타로씨는 어떤 일을 해?,닌자를 소재로 쓰는 유명한 시대 소설가야. 탐정소설에 대한 취재를 하고 싶다면서 모리아저씨 사무소를 방문한 적이 있었어.
346,쿠사가 씨를 살해한 후 사루하시 씨는 어떻게 된 거야?,사루하시씨는 쿠사가씨를 살해하고 어떻게 했어?,사루하시씨는 어떻게 범죄를 저지른 후에 어떻게 했어?,사루하시씨는 어떻게 쿠사가 씨를 살해한 후에 어떻게 행동했어?,공원에 시체를 두고 온 뒤 행동을 증명하기 위해 가게에 들어갔지.
347,쿠사가와 씨와 사루하시 씨 둘 다 잊어버린 것은?,쿠사가와 사루하시가 잊어버린 것은 뭐야?,쿠사가와 사루하시가 잊어버린 것은?,쿠사가 씨도 사루하시 씨도 잊어버린 소중한 것은,프로가 되는지 않는지는 마지막의 자기 자신의 노력의 문제라는 걸.
348,가타오카 준은 누구에게 유괴당했어?,코난을 준으로 오해하고 유괴한 범인은?,코난을 준으로 오해하고 유괴한 범인은 누구야?,준을 유괴하려고 한 범인은 누구야?,요시자와 타다시와 운전기사인 키타야마야.
349,가타오카 준 대신 누가 유괴당했어?,가타오카 준 대신에 유괴당한 사람은?,가타오카 준을 대신해 유괴당한 아이는?,가타오카 준을 대신해서 유괴당한 아이는 누구야?,나야. 결국 빠져나왔지만.
350,요시자와가 트럭을 바꿔치기한 트릭은?,요시자와의 트릭은 뭘까?,요시자와의 트릭은 뭐야?,요시자와가 트럭을 바꾼 트릭은?,요시자와는 훔친 트럭이 벌꿀 그림을 랩핑한 거였어. 유괴 몸값을 받고 도주 중에 터널에서 그림을 벗기고 다른 트럭으로 만들어서 도주한 거야.
351,핫토리가 코고로에게 보낸 쿠스카와 씨의 문자는 뭐야?,핫토리가 코고로에게 부탁한 쿠스카와 씨의 문자는?,핫토리가 코고로에게 부탁한 쿠스카와씨의 문자는 무슨 내용이야?,핫토리가 코고로에게 전화해서 부탁한 암호의 내용은 뭐야?,밑의 3열은 숫자가 아니라 알파벳이 되도록 바꿔서 범인을 잡도록 했어.
352,오쿠무라 소키치를 살해한 범인은?,후나키 타케히코를 죽인 범인은,오쿠무라 소키치와 후나키 타케히코를 죽인 범인은?,소키치와 타케히코를 죽인 범인은?,나츠메 토우코야.
353,나츠메 토우코가 살인을 저지른 이유는?,나츠메 토우코의 살해동기는 뭐야?,나츠메 토우코의 살해동기는?,나츠메 토우코는 왜 살인을 저지른 거야?,자기 아버지가 죽게 된 건 치한을 말리지 않은 이들 때문이라고 생각한 토우코는 그 당시 버스에 탄 사람들을 불러서 그들까지 모두 사고사하게 하려는 거였어. 자신까지 포함해서.
354,고마이 여사가 죽임을 당하지 않은 이유는 뭐야?,나츠메가 고마이 여사를 죽이지 않은 이유는?,나츠메가 고마이를 죽이지 않은 이유는?,고마이가 죽임당하지 않은 이유는 뭐야?,고마이가 다름아닌 7년 전의 그 사고에서 성추행을 당하던 버스 안내원이었기 때문에 그녀도 죽이려고 했으나 코헤이의 묘에서 참회하는 모습을 보고 고마이는 죽이지 않기로 하였어
355,코난은 어떻게 토우코 조작한 추락할 수 밖에 없었던 버스를 막았어?,토우코가 죽음으로 몰고가려고 했던 버스를 어떻게 했어?,토우코까지 죽으려고 했던 버스 안에서 어떻게 코난은 행동했어?,코난은 토우코가 죽으려고 할 때 어떻게 했어?,코너에 가면 추락할 수 밖에 없는 상황이었어. 상관없는 나까지 끌어들일 수는 없었던 토우코는 어떻게든 버스를 멈추려했고 내가 고탄력 멜빵을 바위에 걸쳐서 버스를 멈추게 하는데 성공했었지.
356,비젠 치즈루를 누가 죽였어?,비젠 치즈루를 죽인 인물은 누구야?,비젠 치즈루를 죽인 범인은 누구야?,비젠 치즈루를 죽인 범인은?,아리모리 미츠유키였어. 피해자는 그의 남동생 아리모리 테루히코와 연인이었는데 빚으로 인해 행글라이더를 타다 추락사하게 되었어. 그 원한으로 복수를 하게 된 거지.
357,아리모리가 범인인 이유는 뭐야?,아리모리가 범인이라는 증거는?,아리모리가 범인인 증거는 뭐야?,아리모리가 범인이라는 증거는 뭐였어?,아리모리의 옷에 날개 고원의 희귀종 나비가 앉아서 가루를 묻히게 됐고 이후 아리모리는 치즈루의 시체를 옮길 때 그 옷을 그대로 입고 있었기에 치즈루의 몸에 나비의 비늘가루가 묻게 되었어.
358,아리모리에게 마지막으로 뭐라고 한거야?,아리모리에게 한 마지막 말은?,아리모리에게 나비와 관련되어 했던 마지막 말은?,아리모리에게 코난은 추리의 마지막에 뭐라고 했어?,"나비는 환생을 뜻한다고 말하면서, 아마 동생이 죽어서 그 나비가 되어 형에게 범죄를 멈춰달라고 온 게 아닐까 하고 말했었지."
359,쿠스카와씨는 왜 변호사를 설득하러 간 거야?,쿠스카와씨는 왜 변호사를 설득하려했었어?,쿠스카와 씨가 변호사를 설득하려고 했던 이유는?,쿠스카와 씨가 변호사를 설득하고자 했던 이유는 뭐야?,옛날에 쿠스카와 씨의 어머니가 그 아줌마에게 신세를 졌던 것 같다고 핫토리에게 들었어.
360,도내에서 일어나고 있던 방화사건의 범인이 현장에 남겨두는 것은 뭐야?,도내에 일어나고 있는 방화의 범인이 현장에 남겨두는 것은?,도내에 일어나고 있는 방화의 범인이 현장에 남겨두는 것은 뭐야?,도내에 일어나는 방화 사건의 범인이 현장에 남겨두는 것은 어떤 물건이야?,붉은 말 인형이야. 방화범을 의미하는 경찰 용어 적마야.
361,신이치의 중요한 날마다 날씨를 좋게 해 주었던 건 뭐야?,중요한 날마다 날씨를 좋게 해 준 인형은 뭐야?,축구시합마다 날씨를 좋게 해 준 인형의 이름은 뭐야?,날씨를 좋게 해주는 인형은 뭐야?,테루테루보즈야.
362,모로즈미 료코를 죽인 사람은?,모로즈미 료코를 살해한 범인은?,모로즈미 료코를 살해한 범인은 누구야?,모로즈미 료코를 살해한 범인은 누굴까?,모로즈미 아키라야. 바로 료코의 남편인 아키라였어.
363,모로즈미가 아내를 죽인 이유는?,모로즈미가 아내를 죽인 이유는 뭐야?,모로즈미의 살해 동기는?,모로즈미의 범행동기는?,아내에게 자신이 연쇄 방화범이란 것을 들켜버리고 입막음 및 병원 건설을 위해 자신의 집에 불을 질러 살해했어.
364,모로즈미의 범죄 트릭은?,모로즈미의 범죄 트릭은 뭐야?,모로즈미의 범죄 트릭은 어떻게 돼?,모로즈미는 어떻게 방화를 일으켰어?,전구에 휴지를 말아두고 그 휴지에 성냥개비를 꽃아두면 전구의 열로 휴지가 타고 그 불이 성냥개비로 옮겨붙어 방화가 되는 원리야.
365,유미나가가 믿은 겐다가 범인이 아닌 이유는 뭐야?,유미나가는 겐다가 범인이 아니라는 것을 어떻게 알았어?,유미나가가 생각하는 겐다가 범인이 아닌 이유는?,유미나가는 겐다가 범인이 아닌 이유가 뭐라고 생각했어?,담배꽁초는 바로 소방관이었던 겐다의 아버지가 돌아가신 화재의 원인이었기에 자신의 아버지과 같은 피해자가 나오지 않기를 바랐던 겐다의 마음을 모두 본 유미나가 경부는 겐다가 범인일 리 없다고 확신했던 것이지.
366,유미나가는 누구야?,유미나가가 누군지 알아?,유미나가는 어떤 인물이야?,유미나가는 어떤 사람이야?,코고로의 경찰 시절 상관이었던 방화계의 경부야. 코고로 아저씨는 불아범이라고 부르시지.
367,소가 미사오는 누구야?,소가 미사오가 누구야?,소가 미사오란 사람은?,소가 미사오는 어떤 사람이야?,풍수지리 전문가로 모로즈미 료코와 불륜 관계이면서도 그녀의 남편과는 친구이기도 해. 어떻게든 불륜 사실을 숨기려 했지.
368,사와구치 케이코를 살해한 사람은?,사와구치 케이코를 살해한 사람은 누구야?,사와구치 케이코를 살해한 범인은?,사와구치 케이코를 살해한 진범은?,토가시 슈지야.
369,료코가 죽은 사건에서 아이가 목격한 것은?,료코가 죽은 방화 사건에서 아이가 목격한 것은 뭐야?,모로즈미 료코가 죽은 사건에서 아이가 목격한 것은?,모로즈미 료코가 죽은 방화사건에서 아이가 목격한 것은 뭐야?,불난 집 오른쪽에서 커튼에 비췬 큰 말을 봤다고 했었지.
370,료코가 죽은 사건의 발화지점은 어디였어?,모로즈미 료코가 죽은 사건의 발화지점은?,모로즈미 료코가 죽은 사건의 발화지점은 어디였어?,료코가 죽은 방화사건의 발화지점?,집을 향해 오른쪽 구석에 있는 골방에서 났다고 했었어. 창고 바닥에 등유를 뿌린 흔적도 있었고 말이야.
371,료코의 불륜상대는 료코씨네 집에서 어떤 걸 찾았어?,료코씨네 집에서 소가 미사오는 뭘 찾았어?,료코네에서 소가 미사오가 찾던 것은?,료코네에서 소가 미사오가 찾으려고 한 것은?,료코 씨와의 불륜 비디오 테이프를 찾으려고 했었어.
372,로코 씨와 관련된 방화사건과 유사한 사건은?,적토마가 나온 현장과 유사한 사건은?,모로즈미씨가 한 범죄와 유사한 사건은?,모로즈미씨가 저지른 방화사건과 유사한 사건은?,명탐정 포와르 시리즈 중 걸작 중 걸작. ABC 살인사건과 똑같아.
373,ABC 살인사건이 뭐야?,ABC 살인사건은 뭐야?,ABC 살인사건의 내용은 뭐야?,ABC살인사건을 설명해줄 수 있어?,지명과 똑같은 머릿글자를 가진 인물을 ABC 순으로 차례차례 죽이고 그 옆에는 ABC 지도표를 놓고 연속 살인귀처럼 보이게 하고 본래의 표적이었던 C의 머릿글자의 인물을 당당히 살해하고 계획살인을 무차별 살인사건이라고 생각하게 만든 트릭이야.
374,모로즈미의 사건과 ABC 살인사건의 유사점은 뭐야?,모로즈미의 사건과 ABC 살인사건의 유사한 점은?,모로즈미의 사건과 ABC 살인사건의 유사한 점은 뭐야?,모로즈미의 사건과 ABC 살인사건의 공통점은?,다른 사람을 자신이 살인귀라고 착각하게 만들고 일단 체포하게 만든 거지.
375,로코 씨가 살해된 사건에서 꼬마가 본 말은 움직였어?,로코 씨가 살해된 사건에서 꼬마가 본 말은 멈춰있었어?,로코 씨가 살해된 사건에서 꼬마가 본 말은 움직이는 말이었어?,로코 씨가 살해된 사건에서 꼬마가 본 말은 어땠어?,움직이지 않았어.
376,모로즈미 씨의 집에 있던 것과 똑같은 꽃병에 있던 것은?,료코의 집에 있던 화병과 똑같은 화병에서 나온 것은 뭐야?,겐다씨 집의 화병에서 나온 것은?,겐다씨 집의 화병에서 나온 것은 뭐야?,도청기야.
377,겐다씨는 어떤 병으로 자수를 했어?,겐다씨는 어떤 병으로 인해 자수를 한 거야?,겐다 씨가 자수한 이유는 뭐야?,겐다 씨가 자수했던 이유는?,어렸을 때 몽유병을 앓고 있었기에 자신이 방화를 저질렀다고 마인드 컨트롤이 되었기 때문이야.
378,화재현장에서 붉은 말이 발견된 이유는?,화재현장에서 붉은 말이 발견된 이유는 뭐야?,화재현장에서 왜 붉은 말이 발견된 거야?,화재현장에서 어째서 붉은 말이 발견된 거야?,그 집 주인이 겐다 씨의 가게의 손님이었기 때문이야.
379,점술가와 풍수지리가는 겐다씨의 집에 왜 도청기를 넣은 거야?,점술가와 풍수지리가가 겐다씨의 집에 왜 도청기를 넣은 거야?,점술가와 풍수지리가가 겐다씨의 집에 왜 도청기를 넣은 이유는?,점술가와 풍수지리가가 겐다씨의 집에 왜 도청기를 넣은 이유는 뭐야?,겐다씨밖에 모르는 일들을 말해서 자신의 점이나 풍수가 맞게끔 믿게 하고 좀 더 비싼 것을 팔게 하기 위해서였지.
380,시라후지 야스미를 죽인 범인은?,시라후지를 죽인 범인은?,시라후지 야스미를 죽인 범인은 누구야?,시라후지 야스미를 죽인 범인은 누구였어?,텐도우 하루카야. 자신을 돈줄로만 이용한 친구들에게 배신감을 느꼈기 때문이야.
381,텐도우 하루카에게 하이바라가 한 말은?,텐도우 하루키에게 하이바라가 한 말은 뭐야?,텐도우에게 하이바라가 한 말은?,진범인 텐도우 하루카에게 하이바라가 한 말은?,"캔 주스 자동판매기와 같아. 돈을 넣으면 목을 축여주지만, 넣지 않으면 아무것도 나오지 않지. 돈 따위로 사람의 마음을 살 순 없다고 말했어."
382,텐도우의 범죄 트릭은 뭐야?,텐도우 하루카의 트릭은 어떤 거야?,텐도우 하루카의 트릭은 뭐야?,텐도우 하루카의 트릭은?,캠핑카에 있던 선루프를 이용해 시간차 살인 트릭을 꾸민 거야. 피해자 야스미와 함께 자신을 경멸하던 레이지를 범인으로 몰려던 계획이었고.
383,케이코는 어떻게 죽었어?,사와구치 케이코는 어떻게 죽은 거야?,사와구치 케이코는 무엇 때문에 죽었어?,사와구치 케이코가 어떻게 죽은 거야?,독살이야.
384,케이코씨의 와인에는 독이 들었어?,케이코씨의 와인에는 독이 들었던 거야?,케이코씨의 와인에는 독이 들었던 거지?,케이코씨의 와인에 들은 독은 뭐야,와인에 들은 게 아니라 와인잔에 있었던 거야.
385,케이코 씨가 살해당한 트릭은?,토가시 슈지의 트릭은?,토가시 슈지의 살인트릭은?,토가시 슈지는 어떻게 케이코를 죽였어?,와인잔에 컵시럽을 넣고 거기에 독을 넣은 다음 잘 섞고 와인잔의 밑에는 색이 칠해져 있었지만 아무도 눈치를 못 챘지. 깔려있는 컵시럽 위에 와인을 따라도 와인은 컵시럽 위에 놓여지게 되지. 일부러 사와구치 씨의 와인잔을 떨어뜨리고 자신의 와인잔을 준 거야.
386,토가시 씨가 범인인 증거는 뭐야?,토가시 씨가 범인이라는 증거는?,토가시 슈지가 범인이라는 증거는 뭐야?,토가시 슈지가 범인인 이유는?,처음부터 지문을 묻히지 않은 독이 들은 병 때문이야.
387,소년탐정단은 하이바라를 뭐라고 불러?,소년탐정단은 하이바라를 어떻게 불러?,하이바라는 소년탐정단에게 어떻게 불려?,하이바라가 소년탐정단에게 어떻게 불리고 있어?,하이바라 씨라고 불리고 있어 아이짱이 아니라.
388,하이바라의 아버지는 누구야?,하이바라의 친아버지는 누구야?,하이바라 아이의 아버지 이름은?,하이바라 아이의 아버지 성함은?,하이바라의 부친은 미야노 아츠시 박사야.
